"Reference_Name","ISO_639","Language_Type","DLS_Level","Raw_Score","Adjusted_Score","Proportional_Score","Content","Encoding","Surface","Localized","Meaning","Speech","Assistant"
"Italian","ita","Living","Thriving",28,27.5,1,4,4,4,4,4,4,3.5
"Dutch","nld","Living","Thriving",26,25.5714,0.92987,4,4,4,4,4,4,1.5714
"Vietnamese","vie","Living","Thriving",25,24,0.872727,4,4,4,4,4,3.6,0.4
"Bengali","ben","Living","Vital",24,22.9633,0.835029,4,4,4,4,3.8125,2.9286,0.2222
"Standard Latvian","lvs","Living","Vital",23,22.4534,0.816488,4,4,4,4,3.7143,2.7391,0
"Telugu","tel","Living","Vital",23,21.9891,0.799605,4,4,4,4,3,2.7391,0.25
"Filipino","fil","Living","Vital",22,21.3231,0.775385,4,4,4,4,3,2.3231,0
"Odia","ory","Living","Vital",21,20.4196,0.74253,4,4,4,3.6923,3,1.7273,0
"Kinyarwanda","kin","Living","Vital",19,17.5782,0.639207,4,4,3.4167,3,2.7,0.4615,0
"Plateau Malagasy","plt","Living","Vital",18,16.7999,0.610905,3.9412,3.8421,3.5625,3,2.4541,0,0
"Occitan (post 1500)","oci","Living","Vital",18,16.7347,0.608533,3.9412,3.8421,3.5625,3,1.8889,0.5,0
"Eastern Yiddish","ydd","Living","Vital",17,16.1096,0.585804,4,3.9231,2.8199,3,2.3667,0,0
"Luxembourgish","ltz","Living","Vital",16,14.1349,0.513997,4,3.75,1.8571,2.875,1.6528,0,0
"Campidanese Sardinian","sro","Living","Ascending",15,13.4269,0.48825,4,2.9,1.7273,2.8889,1.9107,0,0
"Walloon","wln","Living","Ascending",13,11.6925,0.425181,4,3.5534,1,2.4,0.7391,0,0
"Manx","glv","Living","Ascending",14,11.3406,0.412387,3.875,3.4127,1,2.1307,0.9222,0,0
"Tagalog","tgl","Living","Ascending",14,10.3046,0.374711,3.875,2,1.2857,2.1307,1.0131,0,0
"Chuanqiandian Cluster Miao","cqd","Living","Ascending",12,9.1515,0.332781,3.9231,2,1,1.6002,0.6282,0,0
"Kikuyu","kik","Living","Ascending",10,8.5004,0.309107,3.7708,3.1828,0.9268,0.62,0,0,0
"Limburgan","lim","Living","Ascending",10,8.3315,0.302965,3.7708,2.6939,0.9268,0.62,0.32,0,0
"Afar","aar","Living","Ascending",10,8.1952,0.298008,3.7708,2.6939,0.9268,0.8037,0,0,0
"Inari Sami","smn","Living","Ascending",10,7.8936,0.28704,3.7708,3.1828,0,0.62,0.32,0,0
"Seselwa Creole French","crs","Living","Ascending",10,7.5027,0.272824,3.7708,2.6939,1.0379,0,0,0,0
"Plains Cree","crk","Living","Ascending",9,7.4123,0.269537,3.5905,2.8884,0.9333,0,0,0,0
"Zande (individual language)","zne","Living","Ascending",9,7.4123,0.269537,3.5905,2.8884,0.9333,0,0,0,0
"Sena","seh","Living","Ascending",9,7.0434,0.256124,2.8966,2.8884,0.9333,0.325,0,0,0
"Abkhazian","abk","Living","Ascending",9,6.8331,0.248476,3.5905,1.9158,0.9333,0.3935,0,0,0
"Ghomálá'","bbj","Living","Ascending",8,6.6238,0.240867,3.4874,2.3865,0.75,0,0,0,0
"Southern Dagaare","dga","Living","Ascending",8,6.6238,0.240867,3.4874,2.3865,0.75,0,0,0,0
"S'gaw Karen","ksw","Living","Ascending",8,6.6238,0.240867,3.4874,2.3865,0.75,0,0,0,0
"Northern Thai","nod","Living","Ascending",8,6.6238,0.240867,3.4874,2.3865,0.75,0,0,0,0
"Adyghe","ady","Living","Ascending",8,6.3096,0.229439,3.4874,1.8774,0.75,0.1948,0,0,0
"Piemontese","pms","Living","Ascending",8,6.198,0.22538,2.8667,2.3865,0.75,0.1948,0,0,0
"Plautdietsch","pdt","Living","Ascending",9,6.0525,0.220092,3.5905,1.9158,0,0.3935,0.1528,0,0
"Alur","alz","Living","Ascending",7,5.3089,0.193049,2.9751,1.726,0.6078,0,0,0,0
"Konzo","koo","Living","Ascending",7,5.3089,0.193049,2.9751,1.726,0.6078,0,0,0,0
"Chimborazo Highland Quichua","qug","Living","Ascending",7,5.3089,0.193049,2.9751,1.726,0.6078,0,0,0,0
"Yao","yao","Living","Ascending",7,5.3089,0.193049,2.9751,1.726,0.6078,0,0,0,0
"Lepcha","lep","Living","Ascending",7,5.1472,0.187171,2.5277,2.0117,0.6078,0,0,0,0
"Eastern Apurímac Quechua","qve","Living","Ascending",8,4.9327,0.179372,2.8667,0.9855,0.7845,0.1948,0.1013,0,0
"Kaqchikel","cak","Living","Ascending",7,4.7559,0.172941,2.9751,0.9881,0.6078,0.1849,0,0,0
"Balti","bft","Living","Ascending",7,4.5408,0.165119,1.8842,2.0487,0.6078,0,0,0,0
"Extremaduran","ext","Living","Ascending",6,4.2705,0.15529,2.3071,1.5566,0.4068,0,0,0,0
"Rejang","rej","Living","Ascending",6,4.2705,0.15529,2.3071,1.5566,0.4068,0,0,0,0
"Belize Kriol English","bzj","Living","Ascending",6,4.1904,0.152377,2.6337,1.5566,0,0,0,0,0
"Guerrero Nahuatl","ngu","Living","Ascending",6,4.1904,0.152377,2.6337,1.5566,0,0,0,0,0
"Min Nan Chinese","nan","Living","Ascending",7,4.1657,0.151481,2.9751,0.9881,0,0.2026,0,0,0
"Sabu","hvn","Living","Ascending",6,4.0228,0.146284,2.6337,0.9823,0.4068,0,0,0,0
"Kok Borok","trp","Living","Ascending",6,4.0228,0.146284,2.6337,0.9823,0.4068,0,0,0,0
"Minangkabau","min","Living","Ascending",6,3.9638,0.14414,1.7692,1.7879,0.4068,0,0,0,0
"Mundari","unr","Living","Ascending",6,3.9638,0.14414,1.7692,1.7879,0.4068,0,0,0,0
"Western Mari","mrj","Living","Ascending",6,3.7775,0.137362,1.7692,1.5566,0.4068,0,0.0449,0,0
"Jola-Fonyi","dyo","Living","Ascending",6,3.652,0.1328,1.7692,1.7879,0,0.0949,0,0,0
"Geez","gez","Ancient","Emerging",6,3.2189,0.11705,0.9739,1.8382,0.4068,0,0,0,0
"Bura-Pabir","bwr","Living","Emerging",5,3.1763,0.115503,2.0481,1.1283,0,0,0,0,0
"Kutep","kub","Living","Emerging",5,3.1763,0.115503,2.0481,1.1283,0,0,0,0,0
"Congo Swahili","swc","Living","Emerging",5,3.1763,0.115503,2.0481,1.1283,0,0,0,0,0
"Chuj","cac","Living","Emerging",5,2.9974,0.108997,2.2736,0.7238,0,0,0,0,0
"Goan Konkani","gom","Living","Emerging",5,2.9974,0.108997,2.2736,0.7238,0,0,0,0,0
"Kalanguya","kak","Living","Emerging",5,2.9974,0.108997,2.2736,0.7238,0,0,0,0,0
"Poqomchi'","poh","Living","Emerging",5,2.9974,0.108997,2.2736,0.7238,0,0,0,0,0
"Tzeltal","tzh","Living","Emerging",5,2.9974,0.108997,2.2736,0.7238,0,0,0,0,0
"Saurashtra","saz","Living","Emerging",5,2.9877,0.108645,2.0481,0.7238,0.2159,0,0,0,0
"Kachhi","kfr","Living","Emerging",5,2.9493,0.107249,1.6052,1.1283,0.2159,0,0,0,0
"Pfaelzisch","pfl","Living","Emerging",5,2.9493,0.107249,1.6052,1.1283,0.2159,0,0,0,0
"Fang (Equatorial Guinea)","fan","Living","Emerging",5,2.856,0.103855,1.6052,1.2508,0,0,0,0,0
"Classical Nahuatl","nci","Historical","Emerging",5,2.746,0.099856,1.6052,1.1283,0,0,0,0.0126,0
"Bakoko","bkh","Living","Emerging",4,2.3916,0.086966,1.7071,0.6844,0,0,0,0,0
"Batad Ifugao","ifb","Living","Emerging",4,2.3916,0.086966,1.7071,0.6844,0,0,0,0,0
"Kusaal","kus","Living","Emerging",4,2.3916,0.086966,1.7071,0.6844,0,0,0,0,0
"Northwestern Ojibwa","ojb","Living","Emerging",4,2.3916,0.086966,1.7071,0.6844,0,0,0,0,0
"Shilluk","shk","Living","Emerging",4,2.3916,0.086966,1.7071,0.6844,0,0,0,0,0
"Zou","zom","Living","Emerging",4,2.3916,0.086966,1.7071,0.6844,0,0,0,0,0
"Garo","grt","Living","Emerging",5,2.3874,0.086814,0.9207,1.2508,0.2159,0,0,0,0
"Kom (Cameroon)","bkm","Living","Emerging",4,2.3833,0.086666,1.4383,0.9451,0,0,0,0,0
"Sea Island Creole English","gul","Living","Emerging",4,2.3833,0.086666,1.4383,0.9451,0,0,0,0,0
"Kuria","kuj","Living","Emerging",4,2.3833,0.086666,1.4383,0.9451,0,0,0,0,0
"Ngiti","niy","Living","Emerging",4,2.3833,0.086666,1.4383,0.9451,0,0,0,0,0
"Tunen","tvu","Living","Emerging",4,2.3833,0.086666,1.4383,0.9451,0,0,0,0,0
"Banggai","bgz","Living","Emerging",4,2.2662,0.082407,1.4383,0.6844,0.1435,0,0,0,0
"Langi","lag","Living","Emerging",5,2.2168,0.08061,0.9207,1.2508,0,0.0453,0,0,0
"Betawi","bew","Living","Emerging",4,1.971,0.071671,0.8824,0.9451,0.1435,0,0,0,0
"Dungan","dng","Living","Emerging",4,1.971,0.071671,0.8824,0.9451,0.1435,0,0,0,0
"Masana","mcn","Living","Emerging",4,1.971,0.071671,0.8824,0.9451,0.1435,0,0,0,0
"Rakhine","rki","Living","Emerging",4,1.971,0.071671,0.8824,0.9451,0.1435,0,0,0,0
"Koorete","kqy","Living","Emerging",4,1.8655,0.067837,0.8824,0.9832,0,0,0,0,0
"Guerrero Amuzgo","amu","Living","Emerging",4,1.8278,0.066467,1.8278,0,0,0,0,0,0
"Digo","dig","Living","Emerging",4,1.8278,0.066467,1.8278,0,0,0,0,0,0
"Kaonde","kqn","Living","Emerging",4,1.8278,0.066467,1.8278,0,0,0,0,0,0
"Tase Naga","nst","Living","Emerging",4,1.8278,0.066467,1.8278,0,0,0,0,0,0
"Rapanui","rap","Living","Emerging",4,1.8278,0.066467,1.8278,0,0,0,0,0,0
"Wallisian","wls","Living","Emerging",4,1.8278,0.066467,1.8278,0,0,0,0,0,0
"Anuak","anu","Living","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Mmen","bfm","Living","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Wumboko","bqm","Living","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Northern Catanduanes Bikol","cts","Living","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Northern Emberá","emp","Living","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Gothic","got","Ancient","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Inuinnaqtun","ikt","Living","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Kwakum","kwu","Living","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Mafa","maf","Living","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Masalit","mls","Living","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Maria (India)","mrr","Living","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Ndo","ndp","Living","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Tohono O'odham","ood","Living","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Santiago del Estero Quichua","qus","Living","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Riang (India)","ria","Living","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Suba-Simbiti","ssc","Living","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Tera","ttr","Living","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Yatzachi Zapotec","zav","Living","Emerging",3,1.5827,0.057551,1.0533,0.5293,0,0,0,0,0
"Hamer-Banna","amf","Living","Emerging",3,1.4151,0.051459,0.7714,0.6437,0,0,0,0,0
"Boko (Benin)","bqc","Living","Emerging",3,1.4151,0.051459,0.7714,0.6437,0,0,0,0,0
"Dogrib","dgr","Living","Emerging",3,1.4151,0.051459,0.7714,0.6437,0,0,0,0,0
"Central-Eastern Niger Fulfulde","fuq","Living","Emerging",3,1.4151,0.051459,0.7714,0.6437,0,0,0,0,0
"Southeast Ijo","ijs","Living","Emerging",3,1.4151,0.051459,0.7714,0.6437,0,0,0,0,0
"Nomaande","lem","Living","Emerging",3,1.4151,0.051459,0.7714,0.6437,0,0,0,0,0
"Male (Ethiopia)","mdy","Living","Emerging",3,1.4151,0.051459,0.7714,0.6437,0,0,0,0,0
"Rotokas","roo","Living","Emerging",3,1.4151,0.051459,0.7714,0.6437,0,0,0,0,0
"Abron","abr","Living","Emerging",3,1.3514,0.049142,0.7714,0.5293,0.0507,0,0,0,0
"Hani","hni","Living","Emerging",3,1.3514,0.049142,0.7714,0.5293,0.0507,0,0,0,0
"Qashqa'i","qxq","Living","Emerging",3,1.3514,0.049142,0.7714,0.5293,0.0507,0,0,0,0
"Argentine Sign Language","aed","Living","Emerging",3,1.1293,0.041066,1.1293,0,0,0,0,0,0
"Chachi","cbi","Living","Emerging",3,1.1293,0.041066,1.1293,0,0,0,0,0,0
"Chuka","cuh","Living","Emerging",3,1.1293,0.041066,1.1293,0,0,0,0,0,0
"Ngäbere","gym","Living","Emerging",3,1.1293,0.041066,1.1293,0,0,0,0,0,0
"Da'a Kaili","kzf","Living","Emerging",3,1.1293,0.041066,1.1293,0,0,0,0,0,0
"Nyemba","nba","Living","Emerging",3,1.1293,0.041066,1.1293,0,0,0,0,0,0
"Roviana","rug","Living","Emerging",3,1.1293,0.041066,1.1293,0,0,0,0,0,0
"Warao","wba","Living","Emerging",3,1.1293,0.041066,1.1293,0,0,0,0,0,0
"Kuy","kdt","Living","Emerging",4,1.1267,0.040971,0,0.9832,0.1435,0,0,0,0
"Asu (Tanzania)","asa","Living","Emerging",4,0.9978,0.036283,0,0.9832,0,0.0146,0,0,0
"Gikyode","acd","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Igo","ahl","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Arop-Lokep","apr","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Au","avt","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Bayot","bda","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Biangai","big","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Kein","bmh","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Bugawac","buk","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Cayuga","cay","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Cibak","ckl","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Ngawn Chin","cnw","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Woods Cree","cwd","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Northeastern Dinka","dip","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Eastern Bontok","ebk","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Fipa","fip","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Wipi","gdr","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Ngangam","gng","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Havu","hav","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Interlingue","ile","Constructed","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Krymchak","jct","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Kare (Central African Republic)","kbn","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Kube","kgf","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Tagakaulo","klg","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Lubuagan Kalinga","knb","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Karon","krx","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Psikye","kvj","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Kwaya","kya","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Pévé","lme","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Mawa (Chad)","mcw","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Matengo","mgv","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Madak","mmx","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Dadibi","mps","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Peripheral Mongolian","mvf","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Naasioi","nas","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Nek","nif","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Ngindo","nnq","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Okanagan","oka","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Ottoman Turkish (1500-1928)","ota","Historical","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Pimbwe","piw","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Phuie","pug","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Kalo Finnish Romani","rmf","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Mag-antsi Ayta","sgb","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Sissala","sld","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Swo","sox","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Sulka","sua","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Tembo (Kitembo)","tbt","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Telefol","tlf","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Ubi","ubi","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Vagla","vag","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"North Wahgi","whg","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Wuvulu-Aua","wuv","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Kuo","xuo","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Yessan-Mayo","yss","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Rincón Zapotec","zar","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Southeastern Ixtlán Zapotec","zpd","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Loxicha Zapotec","ztp","Living","Emerging",2,0.9864,0.035868,0.4994,0.487,0,0,0,0,0
"Eastern Cham","cjm","Living","Emerging",3,0.6943,0.025249,0,0.6437,0.0507,0,0,0,0
"Khorasani Turkish","kmz","Living","Emerging",3,0.6943,0.025249,0,0.6437,0.0507,0,0,0,0
"Achagua","aca","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Arabela","arl","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"West Coast Bajau","bdr","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Belanda Viri","bvi","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Cia-Cia","cia","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Czech Sign Language","cse","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Didinga","did","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Enxet","enx","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Guarayu","gyr","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Italian Sign Language","ise","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Konda-Dora","kfc","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Tehit","kps","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Karok","kyh","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Saluan","loe","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Machiguenga","mcb","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Ilwana","mlk","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Tlahuitoltepec Mixe","mxp","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Tangkhul Naga (India)","nmf","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Natügu","ntu","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Old Russian","orv","Historical","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Sayula Popoluca","pos","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
"Rajbanshi","rjs","Living","Emerging",2,0.6548,0.023813,0.6548,0,0,0,0,0,0
