"Reference_Name","ISO_639","Language_Type","DLS_Level","Raw_Score","Adjusted_Score","Proportional_Score","Content","Encoding","Surface","Localized","Meaning","Speech","Assistant"
"Karenggapa","eaa","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Miyakubo Sign Language","ehs","Living","Still",0,0,0,0,0,0,0,0,0,0
"Elepi","ele","Living","Still",0,0,0,0,0,0,0,0,0,0
"Eastern Meohang","emg","Living","Still",0,0,0,0,0,0,0,0,0,0
"Emumu","enr","Living","Still",0,0,0,0,0,0,0,0,0,0
"Eritai","ert","Living","Still",0,0,0,0,0,0,0,0,0,0
"Etruscan","ett","Ancient","Still",0,0,0,0,0,0,0,0,0,0
"Fayu","fau","Living","Still",0,0,0,0,0,0,0,0,0,0
"Flinders Island","fln","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Furu","fuu","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kenati","gat","Living","Still",0,0,0,0,0,0,0,0,0,0
"Gbaya-Bozoum","gbq","Living","Still",0,0,0,0,0,0,0,0,0,0
"Gade Lohar","gda","Living","Still",0,0,0,0,0,0,0,0,0,0
"Gudu","gdu","Living","Still",0,0,0,0,0,0,0,0,0,0
"Gera","gew","Living","Still",0,0,0,0,0,0,0,0,0,0
"Gagu","ggu","Living","Still",0,0,0,0,0,0,0,0,0,0
"Hinukh","gin","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kok-Nar","gko","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Magɨyi","gmg","Living","Still",0,0,0,0,0,0,0,0,0,0
"Ngen","gnj","Living","Still",0,0,0,0,0,0,0,0,0,0
"Gongduk","goe","Living","Still",0,0,0,0,0,0,0,0,0,0
"Ga'anda","gqa","Living","Still",0,0,0,0,0,0,0,0,0,0
"Gresi","grs","Living","Still",0,0,0,0,0,0,0,0,0,0
"Guana (Paraguay)","gva","Living","Still",0,0,0,0,0,0,0,0,0,0
"Moo","gwg","Living","Still",0,0,0,0,0,0,0,0,0,0
"Gungabula","gyf","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Haiphong Sign Language","haf","Living","Still",0,0,0,0,0,0,0,0,0,0
"Hidatsa","hid","Living","Still",0,0,0,0,0,0,0,0,0,0
"Mel-Khaonh","hkn","Living","Still",0,0,0,0,0,0,0,0,0,0
"Northern Huishui Hmong","hmi","Living","Still",0,0,0,0,0,0,0,0,0,0
"Southern Guiyang Hmong","hmy","Living","Still",0,0,0,0,0,0,0,0,0,0
"Holu","hol","Living","Still",0,0,0,0,0,0,0,0,0,0
"Horned Miao","hrm","Living","Still",0,0,0,0,0,0,0,0,0,0
"Middle Hittite","htx","Ancient","Still",0,0,0,0,0,0,0,0,0,0
"Hungana","hum","Living","Still",0,0,0,0,0,0,0,0,0,0
"Santa María Del Mar Huave","hvv","Living","Still",0,0,0,0,0,0,0,0,0,0
"Ede Ica","ica","Living","Still",0,0,0,0,0,0,0,0,0,0
"Igana","igg","Living","Still",0,0,0,0,0,0,0,0,0,0
"Iko","iki","Living","Still",0,0,0,0,0,0,0,0,0,0
"Iranun (Malaysia)","ilm","Living","Still",0,0,0,0,0,0,0,0,0,0
"Jungle Inga","inj","Living","Still",0,0,0,0,0,0,0,0,0,0
"Iraqw","irk","Living","Still",0,0,0,0,0,0,0,0,0,0
"Itene","ite","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"I-Wak","iwk","Living","Still",0,0,0,0,0,0,0,0,0,0
"Yalahatan","jal","Living","Still",0,0,0,0,0,0,0,0,0,0
"Barikewa","jbk","Living","Still",0,0,0,0,0,0,0,0,0,0
"Yei","jei","Living","Still",0,0,0,0,0,0,0,0,0,0
"Jingulu","jig","Living","Still",0,0,0,0,0,0,0,0,0,0
"Amami Koniya Sign Language","jks","Living","Still",0,0,0,0,0,0,0,0,0,0
"Mouwase","jmw","Living","Still",0,0,0,0,0,0,0,0,0,0
"Jewish Palestinian Aramaic","jpa","Historical","Still",0,0,0,0,0,0,0,0,0,0
"Wapan","juk","Living","Still",0,0,0,0,0,0,0,0,0,0
"Katso","kaf","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kande","kbs","Living","Still",0,0,0,0,0,0,0,0,0,0
"Ukaan","kcf","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kaian","kct","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kadaru","kdu","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kadar","kej","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kurichiya","kfh","Living","Still",0,0,0,0,0,0,0,0,0,0
"Selangor Sign Language","kgi","Living","Still",0,0,0,0,0,0,0,0,0,0
"Karas","kgv","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kapori","khp","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kosadle","kiq","Living","Still",0,0,0,0,0,0,0,0,0,0
"Western Keres","kjq","Living","Still",0,0,0,0,0,0,0,0,0,0
"Mabaka Valley Kalinga","kkg","Living","Still",0,0,0,0,0,0,0,0,0,0
"Tumi","kku","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kamasa","klp","Living","Still",0,0,0,0,0,0,0,0,0,0
"Konda","knd","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kalamsé","knz","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kutto","kpa","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kafoa","kpu","Living","Still",0,0,0,0,0,0,0,0,0,0
"Okolod","kqv","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kuni","kse","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kusu","ksv","Living","Still",0,0,0,0,0,0,0,0,0,0
"Koroshi","ktl","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kupa","kug","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kunza","kuz","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Tsakwambo","kvz","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kwese","kws","Living","Still",0,0,0,0,0,0,0,0,0,0
"Koiwat","kxt","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kuruáya","kyr","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kazukuru","kzk","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Kamarian","kzx","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Lama Bai","lay","Living","Still",0,0,0,0,0,0,0,0,0,0
"Lavatbura-Lamusong","lbv","Living","Still",0,0,0,0,0,0,0,0,0,0
"Luhu","lcq","Living","Still",0,0,0,0,0,0,0,0,0,0
"Loo","ldo","Living","Still",0,0,0,0,0,0,0,0,0,0
"Lamma","lev","Living","Still",0,0,0,0,0,0,0,0,0,0
"Laha (Viet Nam)","lha","Living","Still",0,0,0,0,0,0,0,0,0,0
"Liki","lio","Living","Still",0,0,0,0,0,0,0,0,0,0
"Yuru","ljx","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Kungkari","lku","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Lasalimu","llm","Living","Still",0,0,0,0,0,0,0,0,0,0
"Lamalera","lmr","Living","Still",0,0,0,0,0,0,0,0,0,0
"Langam","lnm","Living","Still",0,0,0,0,0,0,0,0,0,0
"Tampias Lobu","low","Living","Still",0,0,0,0,0,0,0,0,0,0
"Marama","lrm","Living","Still",0,0,0,0,0,0,0,0,0,0
"Laos Sign Language","lso","Living","Still",0,0,0,0,0,0,0,0,0,0
"Latu","ltu","Living","Still",0,0,0,0,0,0,0,0,0,0
"Lumba-Yakkha","luu","Living","Still",0,0,0,0,0,0,0,0,0,0
"Lewotobi","lwt","Living","Still",0,0,0,0,0,0,0,0,0,0
"Malol","mbk","Living","Still",0,0,0,0,0,0,0,0,0,0
"Maquiritari","mch","Living","Still",0,0,0,0,0,0,0,0,0,0
"Mbere","mdt","Living","Still",0,0,0,0,0,0,0,0,0,0
"Mangala","mem","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Lijili","mgi","Living","Still",0,0,0,0,0,0,0,0,0,0
"Margu","mhg","Living","Still",0,0,0,0,0,0,0,0,0,0
"Cacaloxtepec Mixtec","miu","Living","Still",0,0,0,0,0,0,0,0,0,0
"Malapandaram","mjp","Living","Still",0,0,0,0,0,0,0,0,0,0
"Siliput","mkc","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kinamiging Manobo","mkx","Living","Still",0,0,0,0,0,0,0,0,0,0
"Motlav","mlv","Living","Still",0,0,0,0,0,0,0,0,0,0
"Musar","mmi","Living","Still",0,0,0,0,0,0,0,0,0,0
"Emae","mmw","Living","Still",0,0,0,0,0,0,0,0,0,0
"Moni","mnz","Living","Still",0,0,0,0,0,0,0,0,0,0
"Mangarrayi","mpc","Living","Still",0,0,0,0,0,0,0,0,0,0
"Mapidian","mpw","Living","Still",0,0,0,0,0,0,0,0,0,0
"Rajah Kabunsuwan Manobo","mqk","Living","Still",0,0,0,0,0,0,0,0,0,0
"Murupi","mqw","Living","Still",0,0,0,0,0,0,0,0,0,0
"Mortlockese","mrl","Living","Still",0,0,0,0,0,0,0,0,0,0
"Moraid","msg","Living","Still",0,0,0,0,0,0,0,0,0,0
"Momare","msz","Living","Still",0,0,0,0,0,0,0,0,0,0
"Mota","mtt","Living","Still",0,0,0,0,0,0,0,0,0,0
"Mamboru","mvd","Living","Still",0,0,0,0,0,0,0,0,0,0
"Mwatebu","mwa","Living","Still",0,0,0,0,0,0,0,0,0,0
"Mele-Fila","mxe","Living","Still",0,0,0,0,0,0,0,0,0,0
"Mayeka","myc","Living","Still",0,0,0,0,0,0,0,0,0,0
"Matipuhy","mzo","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Naaba","nao","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kuri","nbn","Living","Still",0,0,0,0,0,0,0,0,0,0
"Nachering","ncd","Living","Still",0,0,0,0,0,0,0,0,0,0
"Ndombe","ndq","Living","Still",0,0,0,0,0,0,0,0,0,0
"Neku","nek","Living","Still",0,0,0,0,0,0,0,0,0,0
"Neyo","ney","Living","Still",0,0,0,0,0,0,0,0,0,0
"Ngwaba","ngw","Living","Still",0,0,0,0,0,0,0,0,0,0
"Nila","nil","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kunyi","njx","Living","Still",0,0,0,0,0,0,0,0,0,0
"Namat","nkm","Living","Still",0,0,0,0,0,0,0,0,0,0
"Mankiyali","nlm","Living","Still",0,0,0,0,0,0,0,0,0,0
"Nyam","nmi","Living","Still",0,0,0,0,0,0,0,0,0,0
"Nyangumarta","nna","Living","Still",0,0,0,0,0,0,0,0,0,0
"Nuk","noc","Living","Still",0,0,0,0,0,0,0,0,0,0
"Nayi","noz","Living","Still",0,0,0,0,0,0,0,0,0,0
"Ngendelengo","nql","Living","Still",0,0,0,0,0,0,0,0,0,0
"Ngarluma","nrl","Living","Still",0,0,0,0,0,0,0,0,0,0
"Northwestern Nisu","nsf","Living","Still",0,0,0,0,0,0,0,0,0,0
"Nathembo","nte","Living","Still",0,0,0,0,0,0,0,0,0,0
"Ngala","nud","Living","Still",0,0,0,0,0,0,0,0,0,0
"Nasarian","nvh","Living","Still",0,0,0,0,0,0,0,0,0,0
"Nage","nxe","Living","Still",0,0,0,0,0,0,0,0,0,0
"Nyeu","nyl","Living","Still",0,0,0,0,0,0,0,0,0,0
"Teke-Nzikou","nzu","Living","Still",0,0,0,0,0,0,0,0,0,0
"Old Cham","ocm","Historical","Still",0,0,0,0,0,0,0,0,0,0
"Oirata","oia","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kwamtim One","okk","Living","Still",0,0,0,0,0,0,0,0,0,0
"Old Lithuanian","olt","Historical","Still",0,0,0,0,0,0,0,0,0,0
"Omurano","omu","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Ontenu","ont","Living","Still",0,0,0,0,0,0,0,0,0,0
"Ofayé","opy","Living","Still",0,0,0,0,0,0,0,0,0,0
"Oscan","osc","Ancient","Still",0,0,0,0,0,0,0,0,0,0
"Texcatepec Otomi","otx","Living","Still",0,0,0,0,0,0,0,0,0,0
"Oya'oya","oyy","Living","Still",0,0,0,0,0,0,0,0,0,0
"Pankararú","paz","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Santa Inés Ahuatempan Popoloca","pca","Living","Still",0,0,0,0,0,0,0,0,0,0
"Pa Di","pdi","Living","Still",0,0,0,0,0,0,0,0,0,0
"Old Persian (ca. 600-400 B.C.)","peo","Historical","Still",0,0,0,0,0,0,0,0,0,0
"Pagu","pgu","Living","Still",0,0,0,0,0,0,0,0,0,0
"Pahlavani","phv","Living","Still",0,0,0,0,0,0,0,0,0,0
"Piu","pix","Living","Still",0,0,0,0,0,0,0,0,0,0
"Paku","pku","Living","Still",0,0,0,0,0,0,0,0,0,0
"Paluan","plz","Living","Still",0,0,0,0,0,0,0,0,0,0
"Plains Miwok","pmw","Living","Still",0,0,0,0,0,0,0,0,0,0
"Punan Batu 1","pnm","Living","Still",0,0,0,0,0,0,0,0,0,0
"Pokangá","pok","Living","Still",0,0,0,0,0,0,0,0,0,0
"Papora","ppu","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Providencia Sign Language","prz","Living","Still",0,0,0,0,0,0,0,0,0,0
"Port Sandwich","psw","Living","Still",0,0,0,0,0,0,0,0,0,0
"Pentlatch","ptw","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Puruborá","pur","Living","Still",0,0,0,0,0,0,0,0,0,0
"Fyam","pym","Living","Still",0,0,0,0,0,0,0,0,0,0
"Southern Qiang","qxs","Living","Still",0,0,0,0,0,0,0,0,0,0
"Razajerdi","rat","Living","Still",0,0,0,0,0,0,0,0,0,0
"Rembong","reb","Living","Still",0,0,0,0,0,0,0,0,0,0
"Rangkas","rgk","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Kraol","rka","Living","Still",0,0,0,0,0,0,0,0,0,0
"Roma","rmm","Living","Still",0,0,0,0,0,0,0,0,0,0
"Rogo","rod","Living","Still",0,0,0,0,0,0,0,0,0,0
"Ratahan","rth","Living","Still",0,0,0,0,0,0,0,0,0,0
"Ruwila","rwl","Living","Still",0,0,0,0,0,0,0,0,0,0
"Saraveca","sar","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Seti","sbi","Living","Still",0,0,0,0,0,0,0,0,0,0
"Chut","scb","Living","Still",0,0,0,0,0,0,0,0,0,0
"Sarli","sdf","Living","Still",0,0,0,0,0,0,0,0,0,0
"Sene","sej","Living","Still",0,0,0,0,0,0,0,0,0,0
"Sangkong","sgk","Living","Still",0,0,0,0,0,0,0,0,0,0
"Sonde","shc","Living","Still",0,0,0,0,0,0,0,0,0,0
"Akkala Sami","sia","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Siuslaw","sis","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Sindarin","sjn","Constructed","Still",0,0,0,0,0,0,0,0,0,0
"Kutong","skm","Living","Still",0,0,0,0,0,0,0,0,0,0
"Sholaga","sle","Living","Still",0,0,0,0,0,0,0,0,0,0
"Sialum","slw","Living","Still",0,0,0,0,0,0,0,0,0,0
"Musasa","smm","Living","Still",0,0,0,0,0,0,0,0,0,0
"Sensi","sni","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Thai Song","soa","Living","Still",0,0,0,0,0,0,0,0,0,0
"Sepa (Indonesia)","spb","Living","Still",0,0,0,0,0,0,0,0,0,0
"Sapuan","spu","Living","Still",0,0,0,0,0,0,0,0,0,0
"Saruga","sra","Living","Still",0,0,0,0,0,0,0,0,0,0
"Serua","srw","Living","Still",0,0,0,0,0,0,0,0,0,0
"So'a","ssq","Living","Still",0,0,0,0,0,0,0,0,0,0
"Shelta","sth","Living","Still",0,0,0,0,0,0,0,0,0,0
"Suganga","sug","Living","Still",0,0,0,0,0,0,0,0,0,0
"Savosavo","svs","Living","Still",0,0,0,0,0,0,0,0,0,0
"Sowa","sww","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Siang","sya","Living","Still",0,0,0,0,0,0,0,0,0,0
"Sengele","szg","Living","Still",0,0,0,0,0,0,0,0,0,0
"Tocho","taz","Living","Still",0,0,0,0,0,0,0,0,0,0
"Tanguat","tbs","Living","Still",0,0,0,0,0,0,0,0,0,0
"Tichurong","tcn","Living","Still",0,0,0,0,0,0,0,0,0,0
"Tomadino","tdi","Living","Still",0,0,0,0,0,0,0,0,0,0
"Tadyawan","tdy","Living","Still",0,0,0,0,0,0,0,0,0,0
"Temein","teq","Living","Still",0,0,0,0,0,0,0,0,0,0
"Lawunuia","tgi","Living","Still",0,0,0,0,0,0,0,0,0,0
"Tai Long","thi","Living","Still",0,0,0,0,0,0,0,0,0,0
"Tiéfo","tiq","Living","Still",0,0,0,0,0,0,0,0,0,0
"Tjurruru","tju","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Takestani","tks","Living","Still",0,0,0,0,0,0,0,0,0,0
"Talodi","tlo","Living","Still",0,0,0,0,0,0,0,0,0,0
"Tutuba","tmi","Living","Still",0,0,0,0,0,0,0,0,0,0
"Tamanaku","tmz","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Tangchangya","tnv","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kula","tpg","Living","Still",0,0,0,0,0,0,0,0,0,0
"Tembé","tqb","Living","Still",0,0,0,0,0,0,0,0,0,0
"Tirahi","tra","Living","Still",0,0,0,0,0,0,0,0,0,0
"Tunggare","trt","Living","Still",0,0,0,0,0,0,0,0,0,0
"Tondi Songway Kiini","tst","Living","Still",0,0,0,0,0,0,0,0,0,0
"Lower Ta'oih","tto","Living","Still",0,0,0,0,0,0,0,0,0,0
"Taulil","tuh","Living","Still",0,0,0,0,0,0,0,0,0,0
"Teshenawa","twc","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Tuwari","tww","Living","Still",0,0,0,0,0,0,0,0,0,0
"Tartessian","txr","Ancient","Still",0,0,0,0,0,0,0,0,0,0
"Thaypan","typ","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Kuan","uan","Living","Still",0,0,0,0,0,0,0,0,0,0
"Ughele","uge","Living","Still",0,0,0,0,0,0,0,0,0,0
"Ukrainian Sign Language","ukl","Living","Still",0,0,0,0,0,0,0,0,0,0
"Lule","ule","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Umotína","umo","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Unubahe","unu","Living","Still",0,0,0,0,0,0,0,0,0,0
"Uruangnirin","urn","Living","Still",0,0,0,0,0,0,0,0,0,0
"Uya","usu","Living","Still",0,0,0,0,0,0,0,0,0,0
"Doko-Uyanga","uya","Living","Still",0,0,0,0,0,0,0,0,0,0
"Southwestern Bontok","vbk","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kulisusu","vkl","Living","Still",0,0,0,0,0,0,0,0,0,0
"Mudu Koraga","vmd","Living","Still",0,0,0,0,0,0,0,0,0,0
"Moksela","vms","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Varisi","vrs","Living","Still",0,0,0,0,0,0,0,0,0,0
"Wamesa","wad","Living","Still",0,0,0,0,0,0,0,0,0,0
"Watam","wax","Living","Still",0,0,0,0,0,0,0,0,0,0
"Wajarri","wbv","Living","Still",0,0,0,0,0,0,0,0,0,0
"Wergaia","weg","Living","Still",0,0,0,0,0,0,0,0,0,0
"Wirangu","wgu","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Wik-Iiyanh","wij","Living","Still",0,0,0,0,0,0,0,0,0,0
"Keerray-Woorroong","wkr","Living","Still",0,0,0,0,0,0,0,0,0,0
"Wailapa","wlr","Living","Still",0,0,0,0,0,0,0,0,0,0
"Wamin","wmi","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Wanap","wnp","Living","Still",0,0,0,0,0,0,0,0,0,0
"Wongo","won","Living","Still",0,0,0,0,0,0,0,0,0,0
"Warnang","wrn","Living","Still",0,0,0,0,0,0,0,0,0,0
"Owenia","wsr","Living","Still",0,0,0,0,0,0,0,0,0,0
"Wudu","wud","Living","Still",0,0,0,0,0,0,0,0,0,0
"Waxianghua","wxa","Living","Still",0,0,0,0,0,0,0,0,0,0
"Aghwan","xag","Ancient","Still",0,0,0,0,0,0,0,0,0,0
"Katawixi","xat","Living","Still",0,0,0,0,0,0,0,0,0,0
"Middle Breton","xbm","Historical","Still",0,0,0,0,0,0,0,0,0,0
"Chemakum","xch","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Dacian","xdc","Ancient","Still",0,0,0,0,0,0,0,0,0,0
"Kesawai","xes","Living","Still",0,0,0,0,0,0,0,0,0,0
"Galindan","xgl","Historical","Still",0,0,0,0,0,0,0,0,0,0
"Hattic","xht","Ancient","Still",0,0,0,0,0,0,0,0,0,0
"Jaitmatang","xjt","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Kayan River Kayan","xkn","Living","Still",0,0,0,0,0,0,0,0,0,0
"Karore","xkx","Living","Still",0,0,0,0,0,0,0,0,0,0
"Loup A","xlo","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Manichaean Middle Persian","xmn","Historical","Still",0,0,0,0,0,0,0,0,0,0
"Mayaguduna","xmy","Living","Still",0,0,0,0,0,0,0,0,0,0
"Nukunul","xnu","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Pirriya","xpa","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Port Sorell Tasmanian","xpl","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Northwestern Tasmanian","xpw","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Krikati-Timbira","xri","Living","Still",0,0,0,0,0,0,0,0,0,0
"Shamang","xsh","Living","Still",0,0,0,0,0,0,0,0,0,0
"Ketengban","xte","Living","Still",0,0,0,0,0,0,0,0,0,0
"Sindihui Mixtec","xts","Living","Still",0,0,0,0,0,0,0,0,0,0
"Umbrian","xum","Ancient","Still",0,0,0,0,0,0,0,0,0,0
"Kwaza","xwa","Living","Still",0,0,0,0,0,0,0,0,0,0
"Wemba Wemba","xww","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Yalakalore","xyl","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Yuwana","yau","Living","Still",0,0,0,0,0,0,0,0,0,0
"Yawiyo","ybx","Living","Still",0,0,0,0,0,0,0,0,0,0
"Nyankpa","yes","Living","Still",0,0,0,0,0,0,0,0,0,0
"Baha Buyang","yha","Living","Still",0,0,0,0,0,0,0,0,0,0
"Pholo","yip","Living","Still",0,0,0,0,0,0,0,0,0,0
"Yakaikeke","ykk","Living","Still",0,0,0,0,0,0,0,0,0,0
"Yelogu","ylg","Living","Still",0,0,0,0,0,0,0,0,0,0
"Muda","ymd","Living","Still",0,0,0,0,0,0,0,0,0,0
"Malasar","ymr","Living","Still",0,0,0,0,0,0,0,0,0,0
"Yong","yno","Living","Still",0,0,0,0,0,0,0,0,0,0
"Phala","ypa","Living","Still",0,0,0,0,0,0,0,0,0,0
"Yirrk-Mel","yrm","Living","Still",0,0,0,0,0,0,0,0,0,0
"Sani","ysn","Living","Still",0,0,0,0,0,0,0,0,0,0
"Judeo-Tripolitanian Arabic","yud","Living","Still",0,0,0,0,0,0,0,0,0,0
"Southern Yukaghir","yux","Living","Still",0,0,0,0,0,0,0,0,0,0
"Yawarawarga","yww","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"E'ma Buyang","yzg","Living","Still",0,0,0,0,0,0,0,0,0,0
"Bu (Bauchi State)","zbu","Living","Still",0,0,0,0,0,0,0,0,0,0
"Kadu","zkd","Living","Still",0,0,0,0,0,0,0,0,0,0
"Krevinian","zkv","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Maridjabin","zmj","Living","Still",0,0,0,0,0,0,0,0,0,0
"Mbariman-Gudhinma","zmv","Extinct","Still",0,0,0,0,0,0,0,0,0,0
"Sarasira","zsa","Living","Still",0,0,0,0,0,0,0,0,0,0
